,id,title,tags
0,19995,Avatar,"inthe22ndcentury,aparaplegicmarineisdispatchedtothemoonpandoraonauniquemission,butbecomestornbetweenfollowingordersandprotectinganaliencivilization.cultureclashfuturespacewarspacecolonysocietyspacetravelfuturisticromancespacealientribealienplanetcgimarinesoldierbattleloveaffairantiwarpowerrelationsmindandsoul3dactionadventurefantasysciencefictionsamworthingtonzoesaldanasigourneyweaverstephenlangmichellerodriguezjamescameron"
1,285,Pirates of the Caribbean: At World's End,"captainbarbossa,longbelievedtobedead,hascomebacktolifeandisheadedtotheedgeoftheearthwithwillturnerandelizabethswann.butnothingisquiteasitseems.oceandrugabuseexoticislandeastindiatradingcompanyloveofone'slifetraitorshipwreckstrongwomanshipalliancecalypsoafterlifefighterpirateswashbuckleraftercreditsstingeradventurefantasyactionjohnnydepporlandobloomkeiraknightleystellanskarsgårdchowyun-fatgoreverbinski"
2,206647,Spectre,"acrypticmessagefrombond’spastsendshimonatrailtouncoverasinisterorganization.whilembattlespoliticalforcestokeepthesecretservicealive,bondpeelsbackthelayersofdeceittorevealtheterribletruthbehindspectre.spybasedonnovelsecretagentsequelmi6britishsecretserviceunitedkingdomactionadventurecrimedanielcraigchristophwaltzléaseydouxralphfiennesmonicabelluccisammend"
3,49026,The Dark Knight Rises,"followingthedeathofdistrictattorneyharveydent,batmanassumesresponsibilityfordent'scrimestoprotectthelateattorney'sreputationandissubsequentlyhuntedbythegothamcitypolicedepartment.eightyearslater,batmanencountersthemysteriousselinakyleandthevillainousbane,anewterroristleaderwhooverwhelmsgotham'sfinest.thedarkknightresurfacestoprotectacitythathasbrandedhimanenemy.dccomicscrimefighterterroristsecretidentityburglarhostagedramatimebombgothamcityvigilantecover-upsuperherovillainesstragicheroterrorismdestructioncatwomancatburglarimaxfloodcriminalunderworldbatmanactioncrimedramathrillerchristianbalemichaelcainegaryoldmanannehathawaytomhardychristophernolan"
4,49529,John Carter,"johncarterisawar-weary,formermilitarycaptainwho'sinexplicablytransportedtothemysteriousandexoticplanetofbarsoom(mars)andreluctantlybecomesembroiledinanepicconflict.it'saworldonthebrinkofcollapse,andcarterrediscovershishumanitywhenherealizesthesurvivalofbarsoomanditspeoplerestsinhishands.basedonnovelmarsmedallionspacetravelprincessaliensteampunkmartianescapeedgarriceburroughsalienracesuperhumanstrengthmarscivilizationswordandplanet19thcentury3dactionadventuresciencefictiontaylorkitschlynncollinssamanthamortonwillemdafoethomashadenchurchandrewstanton"
5,559,Spider-Man 3,"theseeminglyinvinciblespider-mangoesupagainstanall-newcropofvillain–includingtheshape-shiftingsandman.whilespider-man’ssuperpowersarealteredbyanalienorganism,hisalterego,peterparker,dealswithnemesiseddiebrockandalsogetscaughtupinalovetriangle.dualidentityamnesiasandstormloveofone'slifeforgivenessspiderwretchdeathofafriendegomaniasandnarcismhostilitymarvelcomicsequelsuperherorevengefantasyactionadventuretobeymaguirekirstendunstjamesfrancothomashadenchurchtophergracesamraimi"
6,38757,Tangled,"whenthekingdom'smostwanted-andmostcharming-banditflynnriderhidesoutinamysterioustower,he'stakenhostagebyrapunzel,abeautifulandfeistytower-boundteenwith70feetofmagical,goldenhair.flynn'scuriouscaptor,who'slookingforherticketoutofthetowerwhereshe'sbeenlockedawayforyears,strikesadealwiththehandsomethiefandtheunlikelyduosetsoffonanaction-packedescapade,completewithasuper-cophorse,anover-protectivechameleonandagruffgangofpubthugs.hostagemagichorsefairytalemusicalprincessanimationtowerblondewomanselfishnesshealingpowerbasedonfairytaleduringcreditsstingerhealinggiftanimalsidekickanimationfamilyzacharylevimandymooredonnamurphyronperlmanm.c.gaineybyronhowardnathangreno"
7,99861,Avengers: Age of Ultron,"whentonystarktriestojumpstartadormantpeacekeepingprogram,thingsgoawryandearth’smightiestheroesareputtotheultimatetestasthefateoftheplanethangsinthebalance.asthevillainousultronemerges,itisuptotheavengerstostophimfromenactinghisterribleplans,andsoonuneasyalliancesandunexpectedactionpavethewayforanepicanduniqueglobaladventure.marvelcomicsequelsuperherobasedoncomicbookvisionsuperheroteamduringcreditsstingermarvelcinematicuniverse3dactionadventuresciencefictionrobertdowneyjr.chrishemsworthmarkruffalochrisevansscarlettjohanssonjosswhedon"
8,767,Harry Potter and the Half-Blood Prince,"asharrybeginshissixthyearathogwarts,hediscoversanoldbookmarkedas'propertyofthehalf-bloodprince',andbeginstolearnmoreaboutlordvoldemort'sdarkpast.witchmagicbroomschoolofwitchcraftwizardryapparitionteenagecrushwerewolfadventurefantasyfamilydanielradclifferupertgrintemmawatsontomfeltonmichaelgambondavidy"
9,209112,Batman v Superman: Dawn of Justice,"fearingtheactionsofagod-likesuperheroleftunchecked,gothamcity’sownformidable,forcefulvigilantetakesonmetropolis’smostrevered,modern-daysavior,whiletheworldwrestleswithwhatsortofheroitreallyneeds.andwithbatmanandsupermanatwarwithoneanother,anewthreatquicklyarises,puttingmankindingreaterdangerthanit’severknownbefore.dccomicsvigilantesuperherobasedoncomicbookrevengesuperpowersclarkkentbrucewaynedcextendeduniverseactionadventurefantasybenaffleckhenrycavillgalgadotamyadamsjesseeisenbergzacksnyd"
